,GAP,Family,Gov,G,Size,Lev,ROA,MTB,KZ,Legal
GAP,1.000,,,,,,,,,
Family,0.098***,1.000,,,,,,,,
Gov,-0.013,-0.338***,1.000,,,,,,,
G,-0.449***,-0.101***,0.036***,1.000,,,,,,
Size,-0.141***,-0.098***,-0.148***,0.102***,1.000,,,,,
Lev,-0.013,0.015,0.014,0.011,0.073***,1.000,,,,
ROA,0.023**,0.045***,-0.019*,0.041***,-0.109***,-0.115***,1.000,,,
MTB,0.007,0.023**,-0.024**,0.012,-0.095***,0.428***,0.282***,1.000,,
KZ,-0.021*,-0.002,-0.034***,-0.008,0.041***,0.009,-0.021*,0.001,1.000,
Legal,0.006,-0.169***,-0.341***,0.003,0.574***,-0.018,-0.023**,-0.041***,0.047***,1.000
